Symbol,Name,Rank
BTC,Bitcoin,1
ETH,Ethereum,2
XRP,Ripple,3
BCH,Bitcoin Cash,4
LTC,Litecoin,5
ADA,Cardano,6
XLM,Stellar,7
NEO,NEO,8
EOS,EOS,9
MIOTA,IOTA,10
DASH,Dash,11
XEM,NEM,12
XMR,Monero,13
LSK,Lisk,14
ETC,Ethereum Classic,15
TRX,TRON,16
VEN,VeChain,17
QTUM,Qtum,18
BTG,Bitcoin Gold,19
USDT,Tether,20
ICX,ICON,21
OMG,OmiseGO,22
ZEC,Zcash,23
XRB,Nano,24
PPT,Populous,25
STEEM,Steem,26
BNB,Binance Coin,27
BCN,Bytecoin,28
XVG,Verge,29
STRAT,Stratis,30
RHOC,RChain,31
SC,Siacoin,32
SNT,Status,33
DOGE,Dogecoin,34
WAVES,Waves,35
MKR,Maker,36
BTS,BitShares,37
WTC,Waltonchain,38
ZRX,0x,39
AE,Aeternity,40
DCR,Decred,41
REP,Augur,42
VERI,Veritaseum,43
HSR,Hshare,44
ZCL,ZClassic,45
KCS,KuCoin Shares,46
KMD,Komodo,47
ARDR,Ardor,48
R,Revain,49
UCASH,U.CASH,50
ETN,Electroneum,51
ARK,Ark,52
DGD,DigixDAO,53
DRGN,Dragonchain,54
GAS,Gas,55
GBYTE,Byteball Bytes,56
BAT,Basic Attention Token,57
DGB,DigiByte,58
LRC,Loopring,59
ZIL,Zilliqa,60
KNC,Kyber Network,61
BTM,Bytom,62
GNT,Golem,63
PIVX,PIVX,64
DCN,Dentacoin,65
MONA,MonaCoin,66
SYS,Syscoin,67
ELF,aelf,68
QASH,QASH,69
BTX,Bitcore,70
NAS,Nebulas,71
CNX,Cryptonex,72
POWR,Power Ledger,73
PLR,Pillar,74
ETHOS,Ethos,75
GXS,GXShares,76
IOST,IOStoken,77
FCT,Factom,78
SALT,SALT,79
DENT,Dent,80
AION,Aion,81
FUN,FunFair,82
CND,Cindicator,83
XZC,ZCoin,84
NXT,Nxt,85
ENG,Enigma,86
KIN,Kin,87
NEBL,Neblio,88
WAX,WAX,89
POLY,Polymath,90
RDD,ReddCoin,91
MAID,MaidSafeCoin,92
BNT,Bancor,93
PART,Particl,94
REQ,Request Network,95
LINK,ChainLink,96
PAY,TenX,97
SMART,SmartCash,98
VTC,Vertcoin,99
QSP,Quantstamp,100
BLOCK,Blocknet,101
XP,Experience Points,102
IGNIS,Ignis,103
SAN,Santiment Network Token,104
POE,Po.et,105
ICN,Iconomi,106
GNO,Gnosis,107
VEE,BLOCKv,108
EMC,Emercoin,109
SUB,Substratum,110
GAME,GameCredits,111
STORJ,Storj,112
AGI,SingularityNET,113
XDN,DigitalNote,114
CVC,Civic,115
RDN,Raiden Network Token,116
BTCD,BitcoinDark,117
UNITY,SuperNET,118
XPA,XPA,119
STORM,Storm,120
ZEN,ZenCash,121
SKY,Skycoin,122
ENJ,Enjin Coin,123
MANA,Decentraland,124
RPX,Red Pulse,125
NXS,Nexus,126
HPB,High Performance Blockchain,127
DEW,DEW,128
ANT,Aragon,129
TNB,Time New Bank,130
NAV,NAV Coin,131
DTR,Dynamic Trading Rights,132
ACT,Achain,133
MED,MediBloc,134
LEND,ETHLend,135
MCO,Monaco,136
PPP,PayPie,137
TEL,Telcoin,138
UBQ,Ubiq,139
RLC,iExec RLC,140
SPHTX,SophiaTX,141
VIBE,VIBE,142
BLZ,Bluzelle,143
SRN,SIRIN LABS Token,144
DBC,DeepBrain Chain,145
MDS,MediShares,146
AGRS,Agoras Tokens,147
BCO,BridgeCoin,148
ITC,IoT Chain,149
HTML,HTMLCOIN,150
GTO,Gifto,151
XCP,Counterparty,152
BIX,Bibox Token,153
RCN,Ripio Credit Network,154
APPC,AppCoins,155
XBY,XTRABYTES,156
PPC,Peercoin,157
EMC2,Einsteinium,158
C20,CRYPTO20,159
PAC,PACcoin,160
WABI,WaBi,161
XAS,Asch,162
OST,Simple Token,163
JNT,Jibrel Network,164
AMB,Ambrosus,165
AST,AirSwap,166
ADX,AdEx,167
CMT,CyberMiles,168
SNM,SONM,169
SNGLS,SingularDTV,170
INS,INS Ecosystem,171
DATA,Streamr DATAcoin,172
VIA,Viacoin,173
COB,Cobinhood,174
MTL,Metal,175
THETA,Theta Token,176
GVT,Genesis Vision,177
EDO,Eidoo,178
BAY,BitBay,179
MLN,Melon,180
SPANK,SpankChain,181
ETP,Metaverse ETP,182
BRD,Bread,183
EDG,Edgeless,184
NULS,Nuls,185
MGO,MobileGo,186
UTK,UTRUST,187
PRL,Oyster,188
TNC,Trinity Network Credit,189
FUEL,Etherparty,190
WINGS,Wings,191
TNT,Tierion,192
MOD,Modum,193
TRIG,Triggers,194
WGR,Wagerr,195
PURA,Pura,196
QRL,Quantum Resistant Ledger,197
CTR,Centra,198
RISE,Rise,199
NLG,Gulden,200
WPR,WePower,201
SOC,All Sports,202
BURST,Burst,203
DNT,district0x,204
THC,HempCoin,205
QLC,QLINK,206
CDT,CoinDash,207
INT,Internet Node Token,208
HVN,Hive,209
BTO,Bottos,210
COSS,COSS,211
ATM,ATMChain,212
MNX,MinexCoin,213
LBC,LBRY Credits,214
CRW,Crown,215
ION,ION,216
ECC,ECC,217
UKG,Unikoin Gold,218
MER,Mercury,219
TAAS,TaaS,220
GRS,Groestlcoin,221
TRAC,OriginTrail,222
NGC,NAGA,223
SLS,SaluS,224
SBD,Steem Dollars,225
PEPECASH,Pepe Cash,226
ONION,DeepOnion,227
ADT,adToken,228
CLOAK,CloakCoin,229
HST,Decision Token,230
VIB,Viberate,231
DPY,Delphy,232
AEON,Aeon,233
SAFEX,Safe Exchange Coin,234
IDH,indaHash,235
LUN,Lunyr,236
DCT,DECENT,237
DIME,Dimecoin,238
NET,Nimiq,239
1ST,FirstBlood,240
FTC,Feathercoin,241
DAT,Datum,242
COLX,ColossusCoinXT,243
PRE,Presearch,244
IOC,I/O Coin,245
NMC,Namecoin,246
LKK,Lykke,247
ECA,Electra,248
TKN,TokenCard,249
QBT,Qbao,250
TSL,Energo,251
GTC,Game.com,252
CAPP,Cappasity,253
POT,PotCoin,254
OCN,Odyssey,255
INK,Ink,256
BIS,Bismuth,257
HMQ,Humaniq,258
DMD,Diamond,259
SWFTC,SwftCoin,260
YOYOW,YOYOW,261
DLT,Agrello,262
SHIFT,Shift,263
MTH,Monetha,264
KEY,Selfkey,265
CFI,Cofound.it,266
BCC,BitConnect,267
XWC,WhiteCoin,268
BITCNY,bitCNY,269
WRC,Worldcore,270
ZPT,Zeepin,271
TAU,Lamden,272
SIB,SIBCoin,273
CV,carVertical,274
TIX,Blocktix,275
TRST,WeTrust,276
MOON,Mooncoin,277
FLASH,Flash,278
VOX,Voxels,279
XSPEC,Spectrecoin,280
EVX,Everex,281
SNC,SunContract,282
CAT,BitClave,283
BITB,Bean Cash,284
TIO,Trade Token,285
IPL,InsurePal,286
LA,LATOKEN,287
BLK,BlackCoin,288
POSW,PoSW Coin,289
MOT,Olympus Labs,290
UNO,Unobtanium,291
IXT,iXledger,292
FAIR,FairCoin,293
PHR,Phore,294
BDG,BitDegree,295
HOT,Hydro Protocol,296
ZSC,Zeusshield,297
ART,Maecenas,298
OTN,Open Trading Network,299
MSP,Mothership,300
MDA,Moeda Loyalty Points,301
PASC,Pascal Coin,302
BLT,Bloom,303
SNOV,Snovio,304
SOAR,Soarcoin,305
AMP,Synereo,306
LEO,LEOcoin,307
NEU,Neumark,308
XSH,SHIELD,309
VRC,VeriCoin,310
PRO,Propy,311
BCPT,BlockMason Credit Protocol,312
XEL,Elastic,313
MINT,Mintcoin,314
DRT,DomRaider,315
NMR,Numeraire,316
ORME,Ormeus Coin,317
GUP,Matchpool,318
AURA,Aurora DAO,319
RVT,Rivetz,320
NLC2,NoLimitCoin,321
GRC,GridCoin,322
QUN,QunQun,323
ARN,Aeron,324
MYB,MyBit Token,325
EXP,Expanse,326
